1,Pallet Town,10,"A fairly new and quiet town. It's a small and pretty place."
2,Viridian City,34,"A beautiful city that is enveloped in green year-round."
3,Pewter City,30,"A quiet city nestled between rugged mountains and rocks."
4,Cerulean City,33,"A beautiful city with flowing water and blooming flowers."
5,Vermilion City,34,"A southern city that is bathed in orange by the setting sun."
6,Lavender Town,30,"A small town covered in a beautiful hue of purple."
7,Celadon City,68,"A rich, rainbow colored city where people and Pokémon gather."
8,Fuchsia City,36,"A historic village that has become new."
9,Saffron City,47,"The biggest city in Kanto, shining with a golden light."
10,Cinnabar Island,9,"A town used to be here until it was swept away by an eruption. Previous population was 36"
